,time,temperature_2m_max,sunset,precipitation_sum,windspeed_10m_max,latitude,longitude
0,24/05/2017,24.2,2017-05-24T19:21,0.8,13.1,40.634,14.6027
1,25/05/2017,22.2,2017-05-25T19:22,6.5,13.2,40.634,14.6027
2,26/05/2017,23.4,2017-05-26T19:22,0,14.3,40.634,14.6027
3,27/05/2017,24,2017-05-27T19:23,0,12.7,40.634,14.6027
4,28/05/2017,25.8,2017-05-28T19:24,0,11.3,40.634,14.6027
5,29/05/2017,25.6,2017-05-29T19:25,0,15.8,40.634,14.6027
6,30/05/2017,24.4,2017-05-30T19:26,0,13.4,40.634,14.6027
7,31/05/2017,24.5,2017-05-31T19:26,0,12.6,40.634,14.6027
8,01/06/2017,25.2,2017-06-01T19:27,0,14.6,40.634,14.6027
9,02/06/2017,24.8,2017-06-02T19:28,0,14.3,40.634,14.6027
10,03/06/2017,25.6,2017-06-03T19:29,0.5,15.5,40.634,14.6027
11,04/06/2017,25,2017-06-04T19:29,0,13.7,40.634,14.6027
12,05/06/2017,26.3,2017-06-05T19:30,0,13.3,40.634,14.6027
13,06/06/2017,24.1,2017-06-06T19:31,0.7,14.1,40.634,14.6027
14,07/06/2017,25,2017-06-07T19:31,0,16.1,40.634,14.6027
15,08/06/2017,26.5,2017-06-08T19:32,0,11.9,40.634,14.6027
16,09/06/2017,26.1,2017-06-09T19:32,0,15.4,40.634,14.6027
17,10/06/2017,25.6,2017-06-10T19:33,0,11.9,40.634,14.6027
18,11/06/2017,28.6,2017-06-11T19:33,0,12.4,40.634,14.6027
19,12/06/2017,28.1,2017-06-12T19:34,0,15.5,40.634,14.6027
20,13/06/2017,27.4,2017-06-13T19:34,0,14.2,40.634,14.6027
21,14/06/2017,27.2,2017-06-14T19:35,0,13.4,40.634,14.6027
22,15/06/2017,28.3,2017-06-15T19:35,0,15.7,40.634,14.6027
23,16/06/2017,28.3,2017-06-16T19:36,0.2,13.5,40.634,14.6027
24,17/06/2017,28.7,2017-06-17T19:36,1.1,12.5,40.634,14.6027
25,18/06/2017,26.3,2017-06-18T19:36,0,22.7,40.634,14.6027
26,19/06/2017,28.3,2017-06-19T19:37,0,12.8,40.634,14.6027
27,20/06/2017,27.7,2017-06-20T19:37,0,14.5,40.634,14.6027
